name,type,value,date
两仪滚,游戏-绝地求生,188925,10月24日 14时50分
一米八的坤儿,游戏-绝地求生,98879,10月24日 14时50分
陈哥1,游戏-其他游戏,70842,10月24日 14时50分
老骚豆腐,手游-其他手游,59164,10月24日 14时50分
AnKe-Poi,游戏-绝地求生,53656,10月24日 14时50分
春去丶残秋,手游-第五人格,42238,10月24日 14时50分
棉花大哥哥,手游-王者荣耀,40225,10月24日 14时50分
渔二夯dududu,娱乐-催眠电台,32949,10月24日 14时50分
帅比笙歌超可爱OvO,娱乐-唱见电台,28507,10月24日 14时50分
奈さま,游戏-其他游戏,27154,10月24日 14时50分
细菌l,娱乐-视频聊天,26489,10月24日 14时50分
dear诱耳,娱乐-催眠电台,24122,10月24日 14时50分
一只小短短,娱乐-美食,23598,10月24日 14时50分
球魂,游戏-其他游戏,23494,10月24日 14时50分
与山0v0,游戏-英雄联盟,21719,10月24日 14时50分
飙黑车的司机,手游-其他手游,16052,10月24日 14时50分
秋秋i,游戏-英雄联盟,14833,10月24日 14时50分
万四屋,游戏-CS：GO,13374,10月24日 14时50分
游戏彩笔,游戏-300英雄,13112,10月24日 14时50分
iPanda熊猫频道,娱乐-萌宠,12814,10月24日 14时50分
鬼半仙人,手游-影之诗,12088,10月24日 14时50分
铃椛,游戏-其他游戏,11960,10月24日 14时50分
可樂C,游戏-守望先锋,11312,10月24日 14时50分
这个小岸不太冷,娱乐-学习,10759,10月24日 14时50分
特别凶的阿木,游戏-堡垒之夜,10721,10月24日 14时50分
游戏风云直播,游戏-中国式家长,10344,10月24日 14时50分
虎白白_,游戏-英雄联盟,10173,10月24日 14时50分
PUBG聪聪,游戏-绝地求生,9561,10月24日 14时50分
地球第一总攻,手游-绝地求生:刺激战场,9328,10月24日 14时50分
爱翻车的无敌,游戏-英雄联盟,8654,10月24日 14时50分
两仪滚,游戏-绝地求生,191444,10月24日 14时51分
一米八的坤儿,游戏-绝地求生,102000,10月24日 14时51分
陈哥1,游戏-其他游戏,72583,10月24日 14时51分
老骚豆腐,手游-其他手游,59279,10月24日 14时51分
AnKe-Poi,游戏-绝地求生,53639,10月24日 14时51分
春去丶残秋,手游-第五人格,43472,10月24日 14时51分
棉花大哥哥,手游-王者荣耀,40710,10月24日 14时51分
渔二夯dududu,娱乐-催眠电台,32692,10月24日 14时51分
帅比笙歌超可爱OvO,娱乐-唱见电台,26252,10月24日 14时51分
奈さま,游戏-其他游戏,27344,10月24日 14时51分
细菌l,娱乐-视频聊天,29775,10月24日 14时51分
dear诱耳,娱乐-催眠电台,24223,10月24日 14时51分
一只小短短,娱乐-美食,24118,10月24日 14时51分
球魂,游戏-其他游戏,23605,10月24日 14时51分
与山0v0,游戏-英雄联盟,21987,10月24日 14时51分
飙黑车的司机,手游-其他手游,16020,10月24日 14时51分
秋秋i,游戏-英雄联盟,14484,10月24日 14时51分
万四屋,游戏-CS：GO,13334,10月24日 14时51分
游戏彩笔,游戏-300英雄,13213,10月24日 14时51分
iPanda熊猫频道,娱乐-萌宠,12542,10月24日 14时51分
阿苏Suyi,娱乐-唱见电台,12782,10月24日 14时51分
鬼半仙人,手游-影之诗,12219,10月24日 14时51分
铃椛,游戏-其他游戏,12350,10月24日 14时51分
可樂C,游戏-守望先锋,11277,10月24日 14时51分
这个小岸不太冷,娱乐-学习,10816,10月24日 14时51分
特别凶的阿木,游戏-堡垒之夜,10660,10月24日 14时51分
游戏风云直播,游戏-中国式家长,10321,10月24日 14时51分
虎白白_,游戏-英雄联盟,10122,10月24日 14时51分
PUBG聪聪,游戏-绝地求生,10713,10月24日 14时51分
地球第一总攻,手游-绝地求生:刺激战场,8818,10月24日 14时51分
两仪滚,游戏-绝地求生,191444,10月24日 14时52分
一米八的坤儿,游戏-绝地求生,102000,10月24日 14时52分
陈哥1,游戏-其他游戏,72583,10月24日 14时52分
老骚豆腐,手游-其他手游,59279,10月24日 14时52分
AnKe-Poi,游戏-绝地求生,53639,10月24日 14时52分
春去丶残秋,手游-第五人格,43472,10月24日 14时52分
棉花大哥哥,手游-王者荣耀,40710,10月24日 14时52分
渔二夯dududu,娱乐-催眠电台,32692,10月24日 14时52分
细菌l,娱乐-视频聊天,29775,10月24日 14时52分
奈さま,游戏-其他游戏,27344,10月24日 14时52分
帅比笙歌超可爱OvO,娱乐-唱见电台,26252,10月24日 14时52分
dear诱耳,娱乐-催眠电台,24223,10月24日 14时52分
一只小短短,娱乐-美食,24118,10月24日 14时52分
球魂,游戏-其他游戏,23605,10月24日 14时52分
与山0v0,游戏-英雄联盟,21987,10月24日 14时52分
飙黑车的司机,手游-其他手游,16020,10月24日 14时52分
秋秋i,游戏-英雄联盟,14484,10月24日 14时52分
万四屋,游戏-CS：GO,13334,10月24日 14时52分
游戏彩笔,游戏-300英雄,13213,10月24日 14时52分
阿苏Suyi,娱乐-唱见电台,12782,10月24日 14时52分
iPanda熊猫频道,娱乐-萌宠,12542,10月24日 14时52分
铃椛,游戏-其他游戏,12350,10月24日 14时52分
鬼半仙人,手游-影之诗,12219,10月24日 14时52分
可樂C,游戏-守望先锋,11277,10月24日 14时52分
这个小岸不太冷,娱乐-学习,10816,10月24日 14时52分
PUBG聪聪,游戏-绝地求生,10713,10月24日 14时52分
特别凶的阿木,游戏-堡垒之夜,10660,10月24日 14时52分
游戏风云直播,游戏-中国式家长,10321,10月24日 14时52分
虎白白_,游戏-英雄联盟,10122,10月24日 14时52分
绅士大凡,游戏-剑网3,8997,10月24日 14时52分
